Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
967.64,1283,2.28,2.3,Highly Questionable
1166.29,4111,2.03,2.98,Questionable
1477.96,15768,2.13,4.5,Clear Peak
1539.85,2974,2.0,2.73,Questionable
1615.82,1191,1189.19,2.5,Questionable
1641.02,4593,2.94,4.26,Clear Peak
1812.14,1275,1273.84,3.32,Clear Peak
1990.68,4228,4226.87,2.25,Highly Questionable
2474.15,1501,161.5,2.68,Questionable
2486.08,3237,3236.1,2.67,Questionable
2641.15,1497,1495.97,76.81,Clear Peak
3054.58,1358,1356.99,2.05,Highly Questionable
3227.77,1201,2.56,2.22,Highly Questionable
3247.48,466,465.57,2.01,Highly Questionable
3465.04,587,585.95,2.15,Highly Questionable
3469.75,651,649.97,2.17,Highly Questionable
3546.25,1347,2.0,2.37,Highly Questionable
