Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
998.0,1117,2.4,2.08,Highly Questionable
1159.51,1640,3.47,2.21,Highly Questionable
1641.02,2710,3.36,2.51,Questionable
2474.15,1454,1452.35,2.87,Questionable
2876.15,3667,4.05,2.12,Highly Questionable
4079.3,679,677.71,2.07,Highly Questionable
