Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
1017.36,570,2.48,2.68,Questionable
1636.18,6438,6.04,7.41,Clear Peak
2083.13,1465,2.21,2.05,Highly Questionable
2474.15,1547,2.19,2.4,Highly Questionable
2640.46,822,7.56,32.22,Clear Peak
2869.73,718,3.1,3.91,Clear Peak
