Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
1086.24,5446,2.02,4.5,Clear Peak
1140.14,20770,2.31,8.15,Clear Peak
1218.85,4391,2.52,10.35,Clear Peak
1243.96,7684,2.44,14.64,Clear Peak
1267.92,1159,2.18,3.67,Clear Peak
1359.21,4195,2.17,9.04,Clear Peak
1471.98,1265,2.29,2.08,Highly Questionable
1482.18,835,2.78,4.21,Clear Peak
1496.01,22187,2.07,13.05,Clear Peak
1763.82,1167,6.64,2.7,Questionable
1777.79,1895,14.54,5.21,Clear Peak
1809.31,568,2.38,2.97,Questionable
1853.09,601,2.08,2.72,Questionable
1870.87,673,671.26,2.48,Highly Questionable
1906.69,1446,2.67,3.42,Clear Peak
1981.13,1069,4.31,2.27,Highly Questionable
1991.21,1330,2.73,2.97,Questionable
2243.93,2615,2613.14,2.91,Questionable
2317.67,3115,3113.88,4.17,Clear Peak
2385.47,1625,2.01,3.16,Clear Peak
2706.63,2558,2.74,5.19,Clear Peak
2735.83,1385,1383.45,41.38,Clear Peak
3079.42,1676,2.01,9.71,Clear Peak
3385.91,742,3.09,3.94,Clear Peak
4578.75,475,473.69,2.98,Questionable
5202.99,3319,3317.85,2.54,Questionable
