Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
1164.48,3453,2.34,2.72,Questionable
2484.75,3947,3945.95,4.41,Clear Peak
3462.69,601,599.95,2.57,Questionable
