Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
746.29,3577,2.66,2.02,Highly Questionable
1009.76,1393,2.07,2.08,Highly Questionable
1144.2,15407,15405.57,2.12,Highly Questionable
1202.36,5342,2.5,2.33,Highly Questionable
1294.22,3523,2.34,5.01,Clear Peak
1316.28,3361,3359.37,2.03,Highly Questionable
1328.34,3023,2.06,2.83,Questionable
1382.08,1933,3.11,2.46,Highly Questionable
1539.33,2286,2.11,2.58,Questionable
1812.71,1349,1347.94,2.65,Questionable
1962.29,1756,2.27,Highly Questionable
2051.07,1346,2.23,2.02,Highly Questionable
2218.88,3707,3705.69,24.42,Clear Peak
2291.56,148266,148264.81,2.24,Highly Questionable
2485.42,4886,2.54,5.95,Clear Peak
2533.45,78382,78380.92,2.26,Highly Questionable
2640.46,681,3.28,38.85,Clear Peak
2896.91,1907,1905.92,2.68,Questionable
2963.25,772,4.48,2.58,Questionable
3425.96,382,3.88,2.36,Highly Questionable
3444.69,1888,2.39,2.4,Highly Questionable
3489.39,1542,1540.9,2.38,Highly Questionable
3820.11,2743,2741.86,2.26,Highly Questionable
4182.73,575,3.02,3.31,Clear Peak
4277.85,342,2.22,2.88,Questionable
