Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Integral,Intensity Ratio,Peak Confidence
951.0,8900,2.04,20379.31,10.08,Clear Peak
952.84,8879,8877.87,26205.73,11.49,Clear Peak
992.2,11839,2.31,9804.37,5.63,Clear Peak
994.09,11871,11869.89,36024.3,17.58,Clear Peak
997.23,5144,5142.72,11429.15,7.2,Clear Peak
1073.55,14122,14120.35,36900.33,7.56,Clear Peak
1075.29,12829,12827.87,38361.44,10.24,Clear Peak
1087.75,31885,2.63,78830.35,18.25,Clear Peak
1089.5,38609,38607.77,108843.69,53.54,Clear Peak
1131.8,14275,14273.9,50445.99,2.67,Questionable
1142.11,136413,2.01,392678.38,123.49,Clear Peak
1143.91,169690,169688.81,512982.68,109.72,Clear Peak
1157.89,13024,13022.73,38743.19,4.76,Clear Peak
1178.11,32751,32749.4,87361.25,2.81,Questionable
1179.94,35726,35724.82,109468.18,3.28,Clear Peak
1195.97,5494,5493.01,19417.46,2.1,Highly Questionable
1221.4,72461,2.03,208637.22,97.1,Clear Peak
1223.26,87289,87287.83,278660.16,48.14,Clear Peak
1246.62,30585,30583.65,94359.37,70.18,Clear Peak
1248.26,30848,30846.94,109570.99,66.74,Clear Peak
1272.58,4920,2.15,15708.7,25.59,Clear Peak
1353.78,17524,17522.86,61199.61,2.09,Highly Questionable
1368.01,18111,18109.85,52310.48,3.41,Clear Peak
1369.98,16833,16831.95,66736.41,3.8,Clear Peak
1383.06,8525,8523.78,30556.87,15.33,Clear Peak
1439.27,250754,250752.85,891952.85,2.98,Questionable
1459.28,20415,20413.95,90903.72,2.56,Questionable
1501.52,80000,79998.89,298316.79,18.5,Clear Peak
1639.15,18999,18997.85,74516.78,67.96,Clear Peak
1683.65,13474,13472.92,58949.41,2.42,Highly Questionable
1732.91,24510,24508.9,103566.98,2.67,Questionable
1815.94,4974,4972.95,21449.3,2.94,Questionable
1913.72,14620,14618.93,65524.95,42.92,Clear Peak
1926.57,7017,7015.94,33520.48,2.8,Questionable
1988.15,24479,24477.91,109360.76,12.64,Clear Peak
1997.97,52440,52438.93,246015.98,58.18,Clear Peak
2019.16,5116,5114.89,26249.47,3.46,Clear Peak
2298.88,59908,59906.98,312586.18,14.21,Clear Peak
2413.72,10247,10245.97,54180.08,2.15,Highly Questionable
2525.35,60400,60398.97,321737.71,22.74,Clear Peak
2710.57,15763,15761.96,87374.39,52.49,Clear Peak
2836.67,8328,8326.98,45819.58,13.33,Clear Peak
