Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
731.98,2835,7.52,2.02,Highly Questionable
735.04,3293,2.82,2.3,Highly Questionable
739.0,2796,3.11,2.52,Questionable
779.21,2873,2.21,2.18,Highly Questionable
793.16,2231,2.15,2.24,Highly Questionable
794.29,2164,11.5,2.52,Questionable
803.29,2708,2.37,2.09,Highly Questionable
828.5,2145,2.35,2.04,Highly Questionable
844.62,2029,3.37,2.63,Questionable
859.74,2579,2577.66,2.08,Highly Questionable
873.61,1681,4.37,3.96,Clear Peak
877.73,1386,2.76,2.43,Highly Questionable
879.7,1338,5.53,2.51,Questionable
881.67,1470,3.69,2.75,Questionable
884.63,1229,1228.56,2.79,Questionable
887.79,1671,2.98,3.03,Clear Peak
890.76,1797,2.8,2.93,Questionable
893.74,1763,2.11,2.31,Highly Questionable
896.91,1642,2.59,2.07,Highly Questionable
903.69,1406,2.04,2.13,Highly Questionable
904.88,1629,2.12,2.23,Highly Questionable
916.9,1285,2.64,2.1,Highly Questionable
930.02,1993,2.0,2.66,Questionable
937.93,2027,2.14,2.58,Questionable
942.0,1985,2.25,2.88,Questionable
948.94,1525,2.01,2.9,Questionable
952.22,8711,2.24,6.86,Clear Peak
963.11,1925,2.03,2.26,Highly Questionable
969.09,2186,2.57,3.18,Clear Peak
975.1,1190,2.67,2.39,Highly Questionable
993.43,8872,2.41,7.38,Clear Peak
998.25,3458,3456.13,4.7,Clear Peak
1018.28,1068,3.57,2.04,Highly Questionable
1044.51,3137,3135.52,2.39,Highly Questionable
1056.57,1628,2.8,2.74,Questionable
1074.78,20975,2.03,8.92,Clear Peak
1088.76,68338,3.27,36.31,Clear Peak
1101.95,11870,2.04,2.07,Highly Questionable
1143.13,269321,2.74,127.01,Clear Peak
1157.1,7925,5.72,2.13,Highly Questionable
1159.13,7793,7791.52,4.27,Clear Peak
1186.21,1384,2.05,3.4,Clear Peak
1205.28,3552,2.01,3.8,Clear Peak
1207.35,3139,2.5,4.61,Clear Peak
1222.41,71808,3.13,31.96,Clear Peak
1234.52,2711,2.05,3.85,Clear Peak
1245.52,10846,2.46,7.26,Clear Peak
1247.63,63445,2.37,86.45,Clear Peak
1263.64,3695,2.01,5.63,Clear Peak
1267.66,2145,2.01,2.15,Highly Questionable
1271.69,10425,2.93,10.68,Clear Peak
1275.72,3925,2.03,5.04,Clear Peak
1278.81,6740,2.32,2.11,Highly Questionable
1289.77,2848,2.16,8.49,Clear Peak
1291.92,4873,2.49,8.42,Clear Peak
1297.66,1198,11.92,3.35,Clear Peak
1311.82,4263,2.38,2.66,Questionable
1336.01,2230,2.12,2.51,Questionable
1337.95,2331,2.12,2.61,Questionable
1345.01,8346,8344.65,2.05,Highly Questionable
1363.11,45138,2.81,118.65,Clear Peak
1381.09,1926,2.06,2.54,Questionable
1470.71,1207,6.71,3.79,Clear Peak
1481.7,5065,2.05,3.3,Clear Peak
1512.84,1538,2.05,2.61,Questionable
1552.94,2045,3.32,2.47,Highly Questionable
1554.77,1815,1814.18,2.06,Highly Questionable
1571.08,5833,2.63,5.9,Clear Peak
1572.92,5970,2.63,6.38,Clear Peak
1639.3,14017,14015.88,36.87,Clear Peak
1646.31,4767,4765.84,2.69,Questionable
1690.61,1226,2.44,2.34,Highly Questionable
1715.6,4896,4894.91,3.34,Clear Peak
1748.84,5344,5342.87,2.51,Questionable
1756.92,2468,2466.98,2.09,Highly Questionable
1799.01,3079,3077.85,6.42,Clear Peak
1806.92,829,828.18,2.23,Highly Questionable
1815.14,7448,7446.84,2.93,Questionable
1913.42,33825,33823.9,82.34,Clear Peak
1928.6,5187,5185.77,27.0,Clear Peak
1958.83,736,2.0,5.31,Clear Peak
1976.55,2238,2236.83,14.74,Clear Peak
1988.11,15528,2.51,6.69,Clear Peak
1997.92,39219,39217.92,35.57,Clear Peak
2014.03,2167,2165.87,17.34,Clear Peak
2023.0,3542,3540.89,2.85,Questionable
2081.53,1065,1063.74,6.69,Clear Peak
2096.45,2865,2863.99,14.64,Clear Peak
2116.93,499,498.22,2.2,Highly Questionable
2304.2,29923,29921.95,22.76,Clear Peak
2364.73,2181,2.21,3.6,Clear Peak
2393.33,4099,4097.98,57.94,Clear Peak
2414.9,27839,27837.94,19.16,Clear Peak
2438.21,2082,2080.89,2.5,Highly Questionable
2457.01,2389,2387.75,3.22,Clear Peak
2496.49,1736,2.17,2.18,Highly Questionable
2509.49,3561,2.05,4.43,Clear Peak
2525.21,48920,48919.0,16.39,Clear Peak
2579.44,1537,2.06,24.08,Clear Peak
2695.18,18432,2.19,132.93,Clear Peak
2716.34,2867,2865.99,2.38,Highly Questionable
2754.71,26706,26705.0,12.86,Clear Peak
2789.83,2029,2027.89,2.71,Questionable
2826.24,4666,4664.93,2.3,Highly Questionable
2837.95,4716,4714.93,6.27,Clear Peak
