Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
882.26,981,2.58,2.12,Highly Questionable
951.81,4906,2.36,4.7,Clear Peak
975.72,628,3.72,2.29,Highly Questionable
993.01,7475,2.39,8.01,Clear Peak
997.83,4163,4161.52,4.77,Clear Peak
1074.13,16455,16453.18,7.25,Clear Peak
1088.32,41120,2.94,22.41,Clear Peak
1090.08,30020,30018.97,67.32,Clear Peak
1142.68,206928,2.21,135.16,Clear Peak
1156.64,7121,4.03,2.13,Highly Questionable
1158.45,7271,7269.86,3.59,Clear Peak
1204.82,2352,2.16,2.13,Highly Questionable
1206.66,2100,3.82,3.76,Clear Peak
1221.94,75954,2.4,54.95,Clear Peak
1240.83,3164,3162.89,2.17,Highly Questionable
1247.16,29372,29370.59,54.5,Clear Peak
1262.94,2929,2927.9,3.62,Clear Peak
1265.06,1921,1919.51,3.4,Clear Peak
1271.22,5618,5616.28,6.05,Clear Peak
1288.1,1462,4.15,2.99,Questionable
1312.3,3124,3122.91,2.22,Highly Questionable
1335.28,2874,2.57,4.15,Clear Peak
1362.62,43297,2.06,178.63,Clear Peak
1368.52,12065,12063.8,2.11,Highly Questionable
1382.57,8826,4.34,13.2,Clear Peak
1481.19,4386,4384.79,3.39,Clear Peak
1485.8,1761,2.78,2.91,Questionable
1500.19,85930,2.07,15.18,Clear Peak
1638.5,23225,23224.02,94.91,Clear Peak
1643.89,10754,10752.77,4.85,Clear Peak
1714.22,13537,13535.87,7.06,Clear Peak
1721.12,1562,1560.76,2.34,Highly Questionable
1798.16,4385,4383.85,7.81,Clear Peak
1814.57,5872,5870.91,2.25,Highly Questionable
1832.76,831,4.76,2.44,Highly Questionable
1857.92,3377,3375.9,35.87,Clear Peak
1912.55,17122,17120.98,36.27,Clear Peak
1927.72,4377,4376.01,12.46,Clear Peak
1958.24,471,2.84,2.47,Highly Questionable
1987.22,27400,2.1,13.6,Clear Peak
1997.33,71175,71173.95,57.22,Clear Peak
2014.03,2788,2786.94,18.79,Clear Peak
2018.21,5528,5526.94,9.4,Clear Peak
2021.21,4744,4742.97,2.21,Highly Questionable
2024.2,3891,3889.94,16.19,Clear Peak
2096.45,2562,2561.05,12.46,Clear Peak
2117.24,1470,1468.74,8.09,Clear Peak
2251.73,7835,4.35,167.12,Clear Peak
2337.91,922,2.24,2.87,Questionable
2392.68,11552,11550.93,51.25,Clear Peak
2427.69,6639,6637.97,2.31,Highly Questionable
2455.36,2884,2882.91,2.24,Highly Questionable
2499.48,1374,1372.85,4.91,Clear Peak
2510.83,4286,4284.94,9.7,Clear Peak
2524.21,52365,52363.95,9.02,Clear Peak
2555.79,111389,111387.95,69.87,Clear Peak
2692.06,1047,1045.77,2.78,Questionable
2702.8,2784,2782.95,2.76,Questionable
2710.09,24193,24191.98,70.54,Clear Peak
2728.17,4970,4968.87,3.02,Clear Peak
2836.89,12285,12283.98,17.35,Clear Peak
